,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000096,01,ME,20220701191805,20220701183655,20220701191736,,2
1,ME000207,01,ME,20220701191510,20220701182056,20220701184423,,2
2,ME000246,01,ME,20220701191609,20220701175246,20220701180626,20220701191552,3
3,ME000248,01,ME,20220701191521,20220701155416,20220701163049,20220701191516,3
4,ME000282,01,ME,20220701191548,20220701185846,20220701191544,,2
5,ME000284,01,ME,20220701191830,20220701180426,20220701184432,,2
6,ME000364,01,ME,20220701191810,20220630082604,20220630085604,20220701114843,9
7,ME000424,01,ME,20220701191638,20220701183615,20220701191626,,2
8,ME174008,01,ME,20220701191645,20220701184129,20220701191644,,2
9,ME174033,01,ME,20220701191856,20220701183457,20220701191519,20220701191855,3
10,ME174050,02,ME,20220701191734,20220701191033,20220701191733,,2
11,ME174055,01,ME,20220701191859,20220701184317,20220701191508,20220701191857,3
12,ME174057,02,ME,20220701191731,20220701181316,20220701183938,20220701191730,3
13,ME174068,01,ME,20220701191756,20220701183434,20220701191755,,2
14,ME174095,01,ME,20220701191559,20220701175953,20220701183225,,3
15,ME174121,01,ME,20220701191644,20220701183557,20220701191643,,2
16,ME174129,01,ME,20220701191704,20220701160031,20220701164349,20220701191703,3
17,ME174137,01,ME,20220701191848,20220701183112,20220701191316,20220701191847,3
18,ME178004,01,ME,20220701191607,20220701185536,20220701191606,,2
19,ME178005,02,ME,20220701191608,20220701185126,20220701190858,20220701191607,3
20,ME178007,02,ME,20220701191526,20220701182519,20220701184520,20220701191525,3
21,ME178029,02,ME,20220701191746,20220701183935,20220701191530,20220701191746,3
22,ME178034,02,ME,20220701191804,20220701190703,20220701191804,,2
23,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
24,ME178036,02,ME,20220701191653,20220701185058,20220701191653,,2
25,ME178047,01,ME,20220701191752,20220701180521,20220701184055,20220701191751,3
26,ME178049,01,ME,20220701191524,20220701181707,20220701184808,20220701191523,3
27,ME178071,01,ME,20220701191630,20220701180958,20220701185018,20220701191629,3
28,ME178073,02,ME,20220701191507,20220701183528,20220701191505,,2
29,ME178073,03,ME,20220701191726,20220701171840,20220701174650,,2
30,ME178084,01,ME,20220701191754,20220701170457,20220701171922,,2
31,ME178092,01,ME,20220701191817,20220701173721,20220701174657,20220701191816,3
32,ME178120,02,ME,20220701191726,20220701181437,20220701183221,,2
33,ME178121,02,ME,20220701191749,20220701184953,20220701185632,20220701191748,3
34,ME178139,01,ME,20220701191528,20220701183324,20220701191114,20220701191527,3
35,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
36,ME178144,03,ME,20220701191518,20220701174922,20220701183347,20220701191517,3
37,ME181121,01,ME,20220701191629,20220701185737,20220701191628,,2
38,ME181435,01,ME,20220701191612,20220701175020,20220701182544,,2
39,ME181441,01,ME,20220701191635,20220701183538,20220701191603,,2
40,ME181541,01,ME,20220701191848,20220701183459,20220701191818,,2
41,ME181542,11,ME,20220701191804,20220701184839,20220701191218,20220701191803,3
42,ME183001,01,ME,20220701191805,20220701183729,20220701191805,,2
43,ME183027,01,ME,20220701191847,20220701183744,20220701191807,20220701191846,3
44,ME183053,01,ME,20220701191756,20220701182254,20220701185448,20220701191755,3
45,ME183058,01,ME,20220701191545,20220701184820,20220701191008,,2
46,ME183133,01,ME,20220701191658,20220701124327,20220701131323,20220701191656,3
47,ME183141,01,ME,20220701191724,20220701191449,20220701191653,20220701191724,3
48,ME183141,02,ME,20220701191823,20220701115030,20220701122940,,3
49,ME183157,52,ME,20220701191849,20220701184937,20220701191847,,2
50,ME183162,52,ME,20220701191907,20220701172522,20220701173843,20220701191907,3
51,ME183182,01,ME,20800927030732,20210826130041,20210826134352,,5
52,ME183182,02,ME,20220701191720,20220701140418,20220701144601,,2
53,ME183187,02,ME,20800904145416,20210814161840,20210814164059,,5
54,ME183192,52,ME,20220701191850,20220701124312,20220701131602,20220701191849,3
55,ME183195,01,ME,20220701191512,20220701183209,20220701191511,,2
56,ME183218,52,ME,20220701191706,20220630120940,20220630125106,20220701191705,3
57,ME184050,01,ME,20220701191529,20220701182025,20220701190125,,2
58,ME184057,01,ME,20220701191532,20220701160716,20220701163601,,2
59,ME184085,01,ME,20220701191701,20220701185212,20220701191626,,2
60,ME184090,01,ME,20220701191731,20220701183640,20220701191730,,2
61,ME184110,01,ME,20220701191734,20220701183622,20220701190257,20220701191732,3
62,ME187008,01,ME,20220701191805,20220701183604,20220701191627,20220701191803,3
63,ME188008,01,ME,20220701191649,20220701184207,20220701191647,,2
64,ME18A134,01,ME,20220701191734,20220701125934,20220701134236,20220701191733,3
65,ME18A154,01,ME,20220701191541,20220701185434,20220701191540,,2
66,ME18A168,01,ME,20220701191606,20220701130754,20220701131919,,2
67,ME18A226,11,ME,20220701191733,20220630105831,20220630110703,20220701191732,3
68,ME18A229,12,ME,20220701191536,20220630193251,20220630201541,20220701191536,3
69,ME18A250,12,ME,20220701191628,20220701110953,20220701115534,20220701191628,3
70,ME18A253,12,ME,20220701191847,20220701184613,20220701191845,,2
71,ME18A265,11,ME,20220701191833,20220701185414,20220701191832,,2
72,ME18A296,11,ME,20220701191756,20220701183334,20220701191635,20220701191755,3
73,ME18A511,01,ME,20220701191614,20220701184908,20220701191613,,2
74,ME18B105,01,ME,20220701191829,20220701181132,20220701185438,20220701191828,3
75,ME18B118,01,ME,20220701191823,20220701162716,20220701165546,,2
76,ME18B122,01,ME,20220701191814,20220701190103,20220701191813,,2
77,ME18B147,01,ME,20220701191635,20220701163107,20220701170421,,3
78,ME18B149,01,ME,20220701191907,20220701183740,20220701191751,20220701191906,3
79,ME18B179,01,ME,20220701191805,20220701191409,20220701191804,,2
80,ME18B196,01,ME,20220701191813,20220701184340,20220701191441,20220701191812,3
