,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000116,01,ME,20220701180414,20220701172320,20220701180359,,2
1,ME000172,01,ME,20220701180440,20220701174918,20220701175926,,9
2,ME000207,01,ME,20220701180458,00000000000000,20220701180438,,2
3,ME000220,01,ME,20220701180310,20220630172206,20220630173753,,9
4,ME174020,01,ME,20220701180119,20220701172055,20220701180118,,2
5,ME174024,01,ME,20220701180308,20220701171912,20220701180232,,2
6,ME174028,01,ME,20220701180318,20220701173143,20220701180251,,2
7,ME174041,02,ME,20220701180437,20220701151103,20220701154506,20220701180435,3
8,ME174042,01,ME,20220701180508,20220701171108,20220701175109,20220701180447,3
9,ME174057,02,ME,20220701180306,20220701173540,20220701180305,,2
10,ME174063,01,ME,20220701180455,20220701163350,20220701165006,20220701180455,3
11,ME174113,01,ME,20220701180331,20220701173011,20220701174953,,2
12,ME174159,01,ME,20220701180236,20220701172205,20220701180235,,2
13,ME178007,01,ME,20220701180437,20220701161441,20220701163241,,2
14,ME178009,01,ME,20220701180135,20220701122907,20220701125338,20220701180134,3
15,ME178011,02,ME,20220701180139,20220701165236,20220701172506,,2
16,ME178013,03,ME,20220701180326,20220701174129,20220701180100,20220701180325,3
17,ME178023,02,ME,20220701180141,20220701174935,20220701180141,,2
18,ME178025,01,ME,20220701180327,20220701173730,20220701180325,,2
19,ME178030,01,ME,20220701180454,20220701164701,20220701170110,,2
20,ME178033,01,ME,20220701180435,20220701160008,20220701162648,,3
21,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
22,ME178039,01,ME,20220701180123,20220701171005,20220701171758,,2
23,ME178047,01,ME,20220701180248,20220701161621,20220701165925,,2
24,ME178050,02,ME,20220701180234,20220701143154,20220701143714,20220701180233,3
25,ME178111,01,ME,20220701180334,20220701172122,20220701175727,,3
26,ME178111,02,ME,20220701180351,20220701165244,20220701171804,,2
27,ME178136,02,ME,20220701180453,20220701172416,20220701180452,,2
28,ME178138,01,ME,20220701180359,20220701174457,20220701175947,20220701180358,3
29,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
30,ME178155,01,ME,20220701180417,20220701165726,20220701172020,20220701180417,3
31,ME181208,01,ME,20220701180157,20220701172940,20220701180125,,2
