,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000172,01,ME,20220701175001,20220701170743,20220701173716,20220701174920,3
1,ME000211,01,ME,20220701174800,20220701164451,20220701171219,20220701174747,3
2,ME000255,01,ME,20220701175002,20220701170921,20220701174958,,2
3,ME000270,01,ME,20220701175007,20220701173112,20220701174957,,2
4,ME000278,01,ME,20220701174907,20220701173002,20220701174853,,2
5,ME000387,01,ME,20220701174704,20220701172021,20220701174653,,2
6,ME000433,01,ME,20220701174720,20220701173107,20220701174705,,2
7,ME174017,01,ME,20220701175015,20220701152938,20220701160853,20220701175014,3
8,ME174029,01,ME,20220701174850,20220701163428,20220701171748,20220701174849,3
9,ME174037,01,ME,20220701174731,20220701173712,20220701174730,,2
10,ME174042,01,ME,20220701175109,20220701171108,20220701175109,,2
11,ME174050,02,ME,20220701174746,20220701161824,20220701163103,,2
12,ME174066,01,ME,20220701174711,20220701171831,20220701174308,20220701174711,3
13,ME174075,01,ME,20220701174924,20220701161051,20220701165409,20220701174923,3
14,ME174077,01,ME,20220701174830,20220701173754,20220701174829,,2
15,ME174112,01,ME,20220701174911,20220701160616,20220701164058,20220701174910,3
16,ME174113,01,ME,20220701174954,20220701173011,20220701174953,,2
17,ME174121,01,ME,20220701174833,20220701165859,20220701174217,20220701174832,3
18,ME174152,01,ME,20220701174858,20220701171833,20220701174857,,2
19,ME178003,02,ME,20220701174804,20220701170457,20220701174519,20220701174804,3
20,ME178008,01,ME,20220701175023,20220701164213,20220701172517,,3
21,ME178022,01,ME,20220701175058,20220701164615,20220701172656,,3
22,ME178023,02,ME,20220701174935,20220701142031,20220701173002,,3
23,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
24,ME178052,01,ME,20220701175018,20220701165608,20220701173309,20220701175017,3
25,ME178054,01,ME,20220701175012,20220701170807,20220701173111,20220701175011,3
26,ME178058,01,ME,20220701174914,20220701173911,20220701174551,20220701174912,3
27,ME178064,01,ME,20220701175014,20220701171302,20220701174728,20220701175014,3
28,ME178071,01,ME,20220701174943,20220701171912,20220701173622,20220701174942,3
29,ME178073,03,ME,20220701174721,20220701171840,20220701174650,,2
30,ME178092,02,ME,20220701174859,20220701164427,20220701171402,,2
31,ME178098,01,ME,20220701175011,20220701172809,20220701175010,,2
32,ME178106,01,ME,20220701174746,20220701173020,20220701174745,,2
33,ME178108,01,ME,20220701175103,20220701170442,20220701174747,,3
34,ME178122,01,ME,20220701174814,20220701161812,20220701164012,,3
35,ME178124,02,ME,20220701174754,20220701160133,20220701162833,20220701174753,3
36,ME178131,01,ME,20220701174936,20220701125331,20220701133636,20220701174934,3
37,ME178135,01,ME,20220701175033,20220701164057,20220701172703,,3
38,ME178136,01,ME,20220701174850,20220701171607,20220701174819,,2
39,ME178139,01,ME,20220701174729,20220701170348,20220701174429,20220701174728,3
40,ME178140,01,ME,20220701175101,20220701172109,20220701174810,20220701175100,3
41,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
42,ME178144,02,ME,20220701174835,20220701161038,20220701162530,20220701174835,3
43,ME178144,03,ME,20220701174923,20220701170252,20220701174317,20220701174922,3
44,ME181126,01,ME,20220701175009,20220701111347,20220701115707,,2
45,ME181205,02,ME,20220701175011,20220630070715,20220630075035,,3
46,ME181305,01,ME,20220701175056,20220701171029,20220701175054,,2
