,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000036,01,ME,20220701182253,20220701174210,20220701182251,,2
1,ME000117,01,ME,20220701182140,20220701174523,20220701180912,20220701182136,3
2,ME000207,01,ME,20220701182301,20220701180854,20220701181528,20220701182057,3
3,ME000219,01,ME,20220701181907,20220701161748,20220701165756,20220701181847,3
4,ME000225,01,ME,20220701182305,20220701173821,20220701181725,,2
5,ME000270,01,ME,20220701182210,20220701175247,20220701181757,20220701182155,3
6,ME000347,01,ME,20220701182256,20220701002204,20220701004419,20220701182201,3
7,ME174029,01,ME,20220701182144,20220701174849,20220701181523,20220701182143,3
8,ME174034,01,ME,20220701181923,20220701175409,20220701181852,,2
9,ME174041,01,ME,20220701182234,20220701163938,20220701165623,20220701182233,3
10,ME174042,01,ME,20220701181908,20220701180447,20220701181907,,2
11,ME174060,02,ME,20220701181929,20220701161713,20220701165836,,2
12,ME174072,01,ME,20220701182233,20220701175312,20220701182231,,2
13,ME174099,01,ME,20220701182306,20220701171357,20220701175549,20220701182304,3
14,ME174122,01,ME,20220701182135,20220701165319,20220701171318,20220701182134,3
15,ME174124,01,ME,20220701181938,20220701175553,20220701181927,,2
16,ME174146,01,ME,20220701182030,20220701180823,20220701182029,,2
17,ME174153,01,ME,20220701182155,20220701174151,20220701182152,,2
18,ME178001,01,ME,20220701182205,20220701173714,20220701181750,20220701182204,3
19,ME178005,01,ME,20220701182126,20220701162732,20220701165506,20220701182125,3
20,ME178005,02,ME,20220701182306,20220701170846,20220701173106,20220701182305,3
21,ME178007,02,ME,20220701182228,20220701174121,20220701182157,,2
22,ME178008,01,ME,20220701181916,20220701175022,20220701181652,20220701181916,3
23,ME178009,02,ME,20220701182145,20220701175520,20220701182144,,2
24,ME178011,01,ME,20220701182141,20220701164731,20220701173035,,2
25,ME178018,01,ME,20220701182126,20220701170156,20220701173656,,2
26,ME178022,01,ME,20220701182102,20220701164615,20220701172656,,2
27,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
28,ME178044,01,ME,20220701182029,20220701175447,20220701182028,,2
29,ME178045,01,ME,20220701182123,20220701175812,20220701182122,,2
30,ME178064,02,ME,20220701181903,20220701173559,20220701181901,,2
31,ME178072,01,ME,20220701182214,20220701175526,20220701182212,,2
32,ME178077,01,ME,20220701182112,20220701174105,20220701182112,,2
33,ME178085,01,ME,20220701181918,20220701175108,20220701181917,,2
34,ME178089,01,ME,20220701182010,20220701170218,20220701174304,20220701182008,3
35,ME178120,01,ME,20220701182300,20220701174141,20220701182258,,2
36,ME178136,01,ME,20220701182049,20220701171607,20220701174819,20220701182048,3
37,ME178137,01,ME,20220701182026,20220701173758,20220701181843,20220701182025,3
38,ME178137,02,ME,20220701181926,20220701175711,20220701181546,20220701181925,3
39,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
40,ME178144,02,ME,20220701182113,20220701174835,20220701182113,,2
41,ME178145,03,ME,20220701181922,20220701171927,20220701173628,20220701181921,3
42,ME178154,02,ME,20220701182240,20220701181637,20220701182239,,2
43,ME181134,01,ME,20220701181906,20220701175314,20220701181834,,2
44,ME181135,01,ME,20220701182122,20220701173634,20220701181315,,3
45,ME181308,01,ME,20220701182302,20220701180630,20220701182301,,2
46,ME181416,02,ME,20220701182034,20220701181220,20220701182033,,2
47,ME181423,01,ME,20220701182113,20220701163023,20220701171343,20220701182112,3
48,ME181423,02,ME,20220701182016,20220701141532,20220701145850,,2
49,ME181433,01,ME,20220701182059,20220701173900,20220701181928,20220701182058,3
50,ME181442,03,ME,20220701181938,20220701175502,20220701181936,,2
51,ME183050,01,ME,20220701181958,20220701165242,20220701173151,20220701181957,3
52,ME183053,01,ME,20220701182255,20220701175654,20220701180344,20220701182254,3
53,ME183063,01,ME,20220701182136,20220701171040,20220701175343,20220701182136,3
54,ME183126,52,ME,20220701182237,20220701175304,20220701182236,,2
55,ME183153,52,ME,20220701182138,20220630181513,20220630185407,20220701182137,3
56,ME183155,01,ME,20220701182020,20220701174354,20220701182018,,2
57,ME183155,52,ME,20220701182257,20220701173235,20220701173700,20220701182257,3
58,ME183164,01,ME,20220701182132,20220701174114,20220701182111,,2
59,ME183182,01,ME,20800927030732,20210826130041,20210826134352,,5
60,ME183187,02,ME,20800904145416,20210814161840,20210814164059,,5
61,ME183192,01,ME,20220701182015,20220701173150,20220701180626,20220701182014,3
62,ME183205,02,ME,20220701181954,20220701083422,20220701090114,,2
63,ME183205,52,ME,20220701182114,20220701161752,20220701162754,20220701182113,3
64,ME183209,01,ME,20220701182006,20220701165957,20220701173658,,2
65,ME183210,01,ME,20220701182115,20220701170750,20220701173455,,2
66,ME183212,01,ME,20220701182110,20220701171444,20220701173714,20220701182109,3
67,ME183216,01,ME,20220701182230,20220701150351,20220701153919,20220701182229,3
68,ME184006,01,ME,20220701181944,20220701173842,20220701181943,,2
69,ME184026,01,ME,20220701182221,20220701154840,20220701162221,,2
70,ME184050,01,ME,20220701182026,20220701173639,20220701181940,20220701182025,3
71,ME184107,01,ME,20220701182158,20220701174341,20220701182157,,2
72,ME184121,01,ME,20220701182013,20220701162837,20220701171157,20220701182012,3
73,ME184128,01,ME,20220701182150,20220701173829,20220701182148,,2
74,ME188012,01,ME,20220701181957,20220701162359,20220701165649,20220701181955,3
75,ME18A113,01,ME,20220701182042,20220701163242,20220701170908,,2
76,ME18A122,01,ME,20220701182214,20220701180132,20220701182213,,2
77,ME18A140,01,ME,20220701182219,20220701164213,20220701172518,20220701182218,3
78,ME18A164,01,ME,20220701182016,20220701172441,20220701180516,20220701182015,3
79,ME18A194,01,ME,20220701181952,20220701160322,20220701164627,20220701181951,3
80,ME18A213,11,ME,20220701182007,20220701175541,20220701181949,,2
81,ME18A214,11,ME,20220701182011,20220701181454,20220701182010,,2
82,ME18A227,11,ME,20220701182036,20220701161857,20220701163059,20220701182036,3
83,ME18A238,12,ME,20220701181938,20220701172059,20220701180400,,3
84,ME18A241,11,ME,20220701182223,20220629163353,20220629163947,20220701182223,3
85,ME18A257,12,ME,20220701181946,20220701180542,20220701181944,,2
86,ME18A262,11,ME,20220701182013,20220701175443,20220701182040,,2
87,ME18A304,12,ME,20220701182244,20220701134719,20220701143109,20220701182243,3
88,ME18A403,01,ME,20220701182310,20220630140223,20220630144229,,9
89,ME18A403,03,ME,20220701182310,20220630235218,20220630235936,,9
90,ME18A404,04,ME,20220701182026,20220701152723,20220701153813,20220701182025,3
91,ME18A504,01,ME,20220701182228,20220701173113,20220701180602,20220701182227,3
92,ME18B108,01,ME,20220701181901,20220701170605,20220701173144,20220701181900,3
93,ME18B122,01,ME,20220701182234,20220701175057,20220701182232,,2
94,ME18B129,01,ME,20220701182055,20220701180114,20220701181824,20220701182054,3
95,ME18B131,01,ME,20220701181926,20220701174925,20220701181925,,2
96,ME18B139,01,ME,20220701182125,20220701154613,20220701160443,20220701182124,3
97,ME18B151,01,ME,20220701182050,20220701172625,20220701175349,20220701182049,3
98,ME18B155,01,ME,20220701181952,20220629180505,20220629185111,20220701181950,3
99,ME18B161,01,ME,20220701181922,20220701021601,20220701025346,,3
100,ME18B167,01,ME,20220701182047,20220701135855,20220701143845,20220701182047,3
101,ME18B172,01,ME,20220701182301,20220701175945,20220701182300,,2
102,ME18B192,01,ME,20220701181913,20220701165215,20220701173232,,2
103,ME18B246,12,ME,20220701182129,20220701180418,20220701180900,20220701182128,3
