,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000300,01,,20220701190800,20220701113738,20220701120621,20220701190751,3
1,ME000347,01,,20220701191022,20220701185530,20220701185551,20220701191010,3
2,ME000360,01,,20220701190953,20220701181652,20220701184056,,2
3,ME000368,01,,20220701190810,20220701163049,20220701171056,,9
4,ME000370,01,,20220701190753,20220701182111,20220701190122,20220701190724,3
5,ME000378,01,,20220701191102,20220701183510,20220701191058,,2
6,ME000427,01,,20220701190908,20220701184845,20220701190855,,2
7,ME174001,01,,20220701191023,20220701164934,20220701173256,20220701191022,3
8,ME174004,01,,20220701190938,20220630065642,20220630074000,20220701190917,3
9,ME174010,01,,20220701190920,20220701184905,20220701190919,,2
10,ME174021,01,,20220701190858,20220701165412,20220701171616,20220701190858,3
11,ME174041,02,,20220701190933,20220701184835,20220701190932,,2
12,ME174050,02,,20220701191034,20220701170654,20220701175013,20220701191033,3
13,ME174089,01,,20220701190815,20220701154757,20220701161727,,2
14,ME174111,01,,20220701190832,20220701173439,20220701181757,20220701190830,3
15,ME174120,01,,20220701190705,20220701182620,20220701190704,,2
16,ME174153,01,,20220701190957,20220701174151,20220701182152,,2
17,ME178003,01,,20220701190823,20220701184246,20220701190822,,2
18,ME178005,02,,20220701190858,20220701185126,20220701190858,,2
19,ME178012,02,,20220701190802,20220701183001,20220701190801,,2
20,ME178015,02,,20220701191053,20220701183528,20220701191053,,2
21,ME178034,02,,20220701190704,20220701160708,20220701162403,20220701190703,3
22,ME178035,01,,20800606031022,20210826144033,20210826152638,,5
23,ME178036,01,,20220701190733,20220701185406,20220701190732,,2
24,ME178038,02,,20220701191056,20220701184345,20220701191054,,2
25,ME178039,01,,20220701191038,20220701181852,20220701185958,20220701191037,3
26,ME178045,02,,20220701190823,20220701183132,20220701190103,20220701190822,3
27,ME178050,02,,20220701190805,20220701181828,20220701190018,20220701190804,3
28,ME178055,01,,20220701190743,20220701184616,20220701190742,,2
29,ME178059,02,,20220701191105,20220701172737,20220701180748,20220701191105,3
30,ME178061,01,,20220701191002,20220701183031,20220701191001,,2
31,ME178074,01,,20220701190808,20220701182401,20220701183154,20220701190807,3
32,ME178083,03,,20220701190810,20220701023852,20220701024803,,9
33,ME178101,02,,20220701190836,20220701182805,20220701190811,,2
34,ME178106,01,,20220701190909,20220701185059,20220701190909,,2
35,ME178108,01,,20220701190821,20220701184151,20220701185720,20220701190821,3
36,ME178113,02,,20220701190839,20220701175808,20220701181208,20220701190838,3
37,ME178126,01,,20220701190841,20220701182825,20220701190840,,2
38,ME178139,01,,20220701191034,20220701174728,20220701183033,,2
39,ME178141,01,,20220701190813,20220701185017,20220701190328,20220701190812,3
40,ME178142,01,,20800925144207,20210805151802,20210805152907,,5
41,ME178144,04,,20220701190915,20220701181352,20220701184008,20220701190915,3
42,ME181101,01,,20220701190922,20220630131301,20220630132301,,2
43,ME181125,01,,20220701190711,20220701184028,20220701190710,,2
44,ME181126,01,,20220701190704,20220701175735,20220701184056,20220701190703,3
45,ME181135,01,,20220701190947,20220701182121,20220701190407,20220701190946,3
46,ME181227,02,,20220701191009,20220701174230,20220701182550,20220701191009,3
47,ME181440,02,,20220701190805,20220701174519,20220701182840,20220701190805,3
48,ME181442,01,,20220701191027,20220701190115,20220701190405,20220701191025,3
49,ME181442,51,,20220701190746,20220701173106,20220701173204,,3
50,ME181534,02,,20220701190936,20220701182835,20220701190903,,2
51,ME183052,01,,20220701191107,20220701153540,20220701161521,20220701191106,3
52,ME183058,01,,20220701191009,20220701184820,20220701191008,,2
53,ME183133,02,,20220701190722,20220701182534,20220701190653,20220701190721,3
54,ME183133,52,,20220701190812,20220701044313,20220701052522,20220701190811,3
55,ME183155,01,,20220701190730,20220701183522,20220701190729,,2
56,ME183182,01,,20800927030732,20210826130041,20210826134352,,5
57,ME183184,01,,20220701191039,20220701184452,20220701191038,,2
58,ME183185,02,,20220701190908,20220701185336,20220701190906,,2
59,ME183187,02,,20800904145416,20210814161840,20210814164059,,5
60,ME183190,02,,20220701191021,20220701183255,20220701185903,,2
61,ME183192,01,,20220701190845,20220701182014,20220701190317,20220701190844,3
62,ME183209,52,,20220701190929,20220701185353,20220701185605,20220701190928,3
63,ME183210,02,,20220701190801,20220701183536,20220701190800,,2
64,ME184015,01,,20220701191104,20220701184524,20220701191103,,2
65,ME184022,01,,20220701190830,20220701170825,20220701173530,20220701190809,3
66,ME184066,01,,20220701191024,20220701182629,20220701190953,,2
67,ME184087,01,,20220701190932,20220701180911,20220701184957,,3
68,ME187003,01,,20220701190813,20220701182743,20220701190812,,2
69,ME187009,01,,20220701191101,20220701154304,20220701162119,,2
70,ME188013,01,,20220701191036,20220701182945,20220701191035,,2
71,ME18A112,01,,20220701190830,20220701172754,20220701175054,20220701190829,3
72,ME18A139,01,,20220701191033,20220701175433,20220701180249,,3
73,ME18A153,01,,20220701191100,20220701153907,20220701160337,20220701191059,3
74,ME18A195,01,,20220701190831,20220701171840,20220701175701,,3
75,ME18A253,11,,20220701190751,20220701174655,20220701182946,,2
76,ME18A296,12,,20220701190925,20220701182621,20220701190924,,2
77,ME18A403,01,,20220701190845,20220630140223,20220630144229,20220701190845,3
78,ME18A403,04,,20220701190711,20220701152434,20220701154109,20220701190711,3
79,ME18A405,03,,20220701190830,20220701183950,20220701190829,,2
80,ME18A507,01,,20220701191057,20220701184620,20220701191056,,2
81,ME18A509,01,,20220701191042,20220701162230,20220701164621,20220701191040,3
82,ME18B106,01,,20220701190750,20220701175843,20220701184148,20220701190748,3
83,ME18B118,01,,20220701190913,20220701162716,20220701165546,,2
84,ME18B130,01,,20220701190814,20220701171352,20220701173023,,2
85,ME18B166,01,,20220701190811,20220701171720,20220701174451,20220701190810,3
86,ME18B171,01,,20220701191002,20220701184702,20220701191001,,2
87,ME18B183,01,,20220701190749,20220701134130,20220701142435,,2
88,ME18B189,01,,20220701190822,20220701185110,20220701190320,20220701190820,3
89,ME18B195,01,,20220701190827,20220701170752,20220701174827,20220701190826,3
90,ME18B211,12,,20220701191000,20220701152304,20220701153521,20220701190959,3
91,ME18B242,02,,20220701190846,20220701182839,20220701190845,,2
92,ME18B244,01,,20220701190807,20220701162651,20220701165226,20220701190806,3
93,ME18B246,11,,20220701190751,20220701182602,20220701190750,,2
94,ME18B254,12,,20220701191010,20220701184727,20220701191008,,2
95,ME18B270,11,,20220701190724,20220701162816,20220701170341,20220701190723,3
96,ME18B292,11,,20220701191023,20220701181136,20220701184634,20220701191023,3
97,ME18B295,11,,20220701190933,20220701182742,20220701190856,20220701190932,3
98,ME18B300,12,,20220701191102,20220701183724,20220701191054,,2
99,ME18B303,01,,20220701190707,20220701183725,20220701184700,20220701190706,3
100,ME18B307,12,,20220701191009,20220701182608,20220701190743,20220701191007,3
101,ME18B406,01,,20220701190844,20220701183748,20220701190844,,2
102,ME18B602,11,,20800930110802,20210826135600,20210826135807,,4
103,ME18B602,12,,20800930110803,20210826155948,20210826164121,20210826164344,4
104,ME18B606,12,,20220701190712,20220701185651,20220701190711,,2
105,ME18C138,01,,20220701190830,20220701175234,20220701181735,,2
106,ME18C160,01,,20220701190722,20220701183705,20220701190144,20220701190720,3
107,ME18C206,11,,20220701191029,20220701135020,20220701141248,20220701191028,3
108,ME18C232,11,,20220701191002,20220701182659,20220701191001,,2
109,ME18C236,12,,20220701191107,20220701183216,20220701190153,20220701191107,3
110,ME18C256,11,,20220701190805,20220701181041,20220701184840,20220701190803,3
111,ME18C266,12,,20220701190743,20220701182606,20220701190742,,2
112,ME18C272,11,,20220701190832,20220701184119,20220701190813,,2
113,ME18C306,12,,20220701190804,20220701182500,20220701190803,,2
114,ME190404,01,,20220701191107,20220701145218,20220701151343,,2
115,ME190416,01,,20220701190846,20220701180905,20220701185210,20220701190845,3
116,ME190422,02,,20220701190948,20220701172239,20220701172359,,2
117,ME19A161,01,,20220701190809,20220701170534,20220701174314,20220701190809,3
118,ME19A216,21,,20220701190837,20220701182831,20220701190837,,2
119,ME19A223,21,,20220701190850,20220701183625,20220701190850,,2
120,ME19A241,22,,20220701190807,20220701182217,20220701185330,20220701190806,3
121,ME19A255,21,,20220701190810,20220701165634,20220701173640,,9
122,ME19A262,21,,20220701190756,20220701185407,20220701190708,20220701190755,3
123,ME19A262,22,,20220701190715,20220701183823,20220701190715,,2
124,ME19A264,22,,20220701190826,20220701183852,20220701190826,,2
125,ME19A265,21,,20220701190814,20220701154606,20220701155741,20220701190814,3
126,ME19A274,22,,20220701191054,20220701125603,20220701132035,20220701191054,3
