,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000198,01,ME,20220701184714,20220701180630,20220701184709,,2
1,ME000207,01,ME,20220701184949,20220701182056,20220701184423,,9
2,ME000223,01,ME,20220701184810,20220701173735,20220701181338,,9
3,ME000225,01,ME,20220701184905,20220701173821,20220701181725,,2
4,ME000226,01,ME,20220701184821,20220701181752,20220701184639,20220701184806,3
5,ME000251,01,ME,20220701184810,20220630145018,20220630151554,,9
6,ME000347,01,ME,20220701184831,20220701182201,20220701184819,,2
7,ME000376,01,ME,20220701184628,20220701182711,20220701184620,,2
8,ME000427,01,ME,20220701184855,20220701154658,20220701161126,20220701184845,3
9,ME000433,01,ME,20220701184734,20220701173107,20220701174705,20220701184716,3
10,ME174010,01,ME,20220701184905,20220701153222,20220701161513,20220701184905,3
11,ME174023,01,ME,20220701184958,20220701145524,20220701154145,20220701184957,3
12,ME174041,02,ME,20220701184836,20220701180435,20220701182502,20220701184835,3
13,ME174045,01,ME,20220701184906,20220701172237,20220701173207,,2
14,ME174050,04,ME,20220701184910,20220701175211,20220701181302,20220701184909,3
15,ME174051,01,ME,20220701184749,20220701175830,20220701183302,20220701184748,3
16,ME174053,01,ME,20220701184935,20220701181641,20220701184934,,2
17,ME174059,01,ME,20220701184903,20220701180005,20220701182418,20220701184902,3
18,ME174072,01,ME,20220701184620,20220701175312,20220701182231,20220701184619,3
19,ME174099,01,ME,20220701184702,20220701182304,20220701184527,20220701184701,3
20,ME174100,01,ME,20220701184731,20220629153239,20220629153504,20220701184730,3
21,ME174110,01,ME,20220701184803,20220701184103,20220701184603,20220701184802,3
22,ME174112,01,ME,20220701184640,20220701181225,20220701184610,,2
23,ME174113,01,ME,20220701185003,20220701175523,20220701180437,,2
24,ME178009,01,ME,20220701184739,20220701183424,20220701184738,,2
25,ME178011,01,ME,20220701184925,20220701182835,20220701184925,,2
26,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
27,ME178035,02,ME,20220701184649,20220701183618,20220701184649,,2
28,ME178039,02,ME,20220701184745,20220701173602,20220701174517,20220701184744,3
29,ME178041,01,ME,20220701184835,20220701173507,20220701181237,,3
30,ME178049,01,ME,20220701184808,20220701181707,20220701184808,,2
31,ME178055,01,ME,20220701184617,20220701165948,20220701174218,20220701184616,3
32,ME178056,01,ME,20220701184606,20220701173432,20220701182038,,2
33,ME178066,01,ME,20220701184819,20220701183529,20220701184541,20220701184818,3
34,ME178112,01,ME,20220701184620,20220701173414,20220701180724,20220701184620,3
35,ME178121,02,ME,20220701184953,20220701181322,20220701183528,20220701184953,3
36,ME178127,01,ME,20220701184658,20220701181223,20220701184251,20220701184656,3
37,ME178141,01,ME,20220701184941,20220701183900,20220701184907,,2
38,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
39,ME178145,04,ME,20220701184929,20220701180926,20220701184929,,2
40,ME178154,02,ME,20220701184939,20220701182553,20220701184703,20220701184938,3
41,ME181219,01,ME,20220701184828,20220701181224,20220701184827,,2
42,ME181542,11,ME,20220701184840,20220701173646,20220701182010,20220701184839,3
43,ME183002,01,ME,20220701184628,20220701180443,20220701184501,20220701184628,3
44,ME183004,01,ME,20220701184723,20220701180349,20220701184653,,2
45,ME183058,01,ME,20220701184821,20220701172210,20220701180233,20220701184820,3
46,ME183134,52,ME,20220701185001,20220701104943,20220701112400,20220701185001,3
47,ME183140,01,ME,20220701184750,20220701151934,20220701154310,20220701184749,3
48,ME183157,01,ME,20220701184639,20220701183302,20220701184638,,2
49,ME183157,52,ME,20220701184938,20220701171644,20220701173924,20220701184937,3
50,ME183182,01,ME,20800927030732,20210826130041,20210826134352,,5
51,ME183185,01,ME,20220701184810,20220701135601,20220701143906,20220701184810,3
52,ME183187,02,ME,20800904145416,20210814161840,20210814164059,,5
53,ME183205,52,ME,20220701184608,20220701183905,20220701184606,,2
54,ME183209,01,ME,20220701184753,20220701173917,20220701182008,,2
55,ME183211,02,ME,20220701184726,20220701174530,20220701175126,20220701184724,3
56,ME184006,01,ME,20220701184703,20220701182312,20220701184703,,2
57,ME184023,01,ME,20220701184631,20220701180603,20220701184658,,2
58,ME184051,01,ME,20220701184729,20220701172356,20220701180452,20220701184728,3
59,ME184067,01,ME,20220701184749,20220701164452,20220701172811,,2
60,ME184087,01,ME,20220701184958,20220701180911,20220701184957,,2
61,ME184112,01,ME,20220701184605,20220701175018,20220701181541,,3
62,ME184126,02,ME,20220701184947,20220701174828,20220701183147,20220701184946,3
63,ME18A127,01,ME,20220701184921,20220701170625,20220701173305,20220701184920,3
64,ME18A160,01,ME,20220701185004,20220701183657,20220701185002,,2
65,ME18A199,01,ME,20220701184839,20220701143711,20220701152013,20220701184838,3
66,ME18A224,11,ME,20220701184940,20220701135612,20220701135843,20220701184939,3
67,ME18A234,12,ME,20220701184952,20220701183339,20220701184848,,2
68,ME18A238,12,ME,20220701184620,20220701181145,20220701184618,,2
69,ME18A253,12,ME,20220701184614,20220701175839,20220701184142,20220701184613,3
70,ME18A282,11,ME,20220701184632,20220701183041,20220701184630,,2
71,ME18A290,02,ME,20220701184812,20220701140242,20220701140947,,3
72,ME18A309,01,ME,20220701184931,20220701170619,20220701174921,,2
73,ME18A507,01,ME,20220701184621,20220701110720,20220701113346,20220701184620,3
74,ME18A511,01,ME,20220701184909,20220701184128,20220701184433,20220701184908,3
75,ME18A603,12,ME,20220701184823,20220701180655,20220701184812,,2
76,ME18B109,01,ME,20220701184753,20220701152801,20220701155131,20220701184752,3
77,ME18B114,01,ME,20220701184902,20220701182955,20220701184900,,2
78,ME18B133,01,ME,20220701184755,20220701180730,20220701184754,,2
