,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000096,01,ME,20220701180809,20220701172727,20220701180806,,2
1,ME000117,01,ME,20220701180917,20220701174523,20220701180912,,2
2,ME000159,01,ME,20220701180633,20220701172003,20220701180011,,2
3,ME000198,01,ME,20220701180634,20220701144514,20220701152553,20220701180630,3
4,ME000207,01,ME,20220701180739,00000000000000,20220701180438,,2
5,ME000214,01,ME,20220701180850,20220701171338,20220701172157,20220701180838,3
6,ME000246,01,ME,20220701180642,20220701175246,20220701180626,,2
7,ME000284,01,ME,20220701180708,20220701172034,20220701173815,20220701180429,3
8,ME000360,01,ME,20220701180907,20220701173323,20220701180856,,2
9,ME000369,01,ME,20220701180842,20220701164730,20220701170550,20220701180835,3
10,ME000370,01,ME,20220701180822,20220701173723,20220701180809,,2
11,ME174020,02,ME,20220701180832,20220701172806,20220701180831,,2
12,ME174028,01,ME,20220701180705,20220701173143,20220701180251,20220701180705,3
13,ME174045,01,ME,20220701180858,20220701172237,20220701173207,,3
14,ME174049,01,ME,20220701180900,20220701152032,20220701160350,20220701180859,3
15,ME174056,01,ME,20220701180736,20220701173311,20220701180735,,2
16,ME174066,01,ME,20220701180652,20220701174711,20220701180651,,2
17,ME174078,01,ME,20220701180957,20220701172638,20220701180956,,2
18,ME174082,01,ME,20220701180715,20220701165623,20220701172841,20220701180715,3
19,ME174112,01,ME,20220701180954,20220701174910,20220701180952,,2
20,ME174113,01,ME,20220701180956,20220701175523,20220701180437,,3
21,ME174123,01,ME,20220701180924,20220701172605,20220701180925,,2
22,ME174146,01,ME,20220701180824,20220701162654,20220701165724,,3
23,ME178017,02,ME,20220701180910,20220701164423,20220701170407,20220701180910,3
24,ME178019,02,ME,20220701180805,20220701174620,20220701180735,,2
25,ME178020,01,ME,20220701180945,20220701170908,20220701175210,20220701180944,3
26,ME178025,02,ME,20220701181006,20220701172701,20220701181005,,2
27,ME178030,02,ME,20220701180810,20220701001605,20220701004957,,9
28,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
29,ME178053,01,ME,20220701180936,20220701165653,20220701172702,20220701180936,3
30,ME178059,02,ME,20220701180748,20220701172737,20220701180748,,2
