,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000172,01,ME,20220701175001,20220701170743,20220701173716,20220701174920,3
1,ME000182,01,ME,20220701175128,20220701172311,20220701175115,,2
2,ME000246,01,ME,20220701175302,20220701160039,20220701161218,20220701175246,3
3,ME000255,01,ME,20220701175002,20220701170921,20220701174958,,2
4,ME000270,01,ME,20220701175007,20220701173112,20220701174957,,2
5,ME000278,01,ME,20220701174907,20220701173002,20220701174853,,2
6,ME174017,01,ME,20220701175015,20220701152938,20220701160853,20220701175014,3
7,ME174042,01,ME,20220701175109,20220701171108,20220701175109,,2
8,ME174050,03,ME,20220701175144,20220701161909,20220701170229,20220701175144,3
9,ME174050,04,ME,20220701175212,20220701161640,20220701170002,,3
10,ME174075,01,ME,20220701174924,20220701161051,20220701165409,20220701174923,3
11,ME174103,01,ME,20220701175133,20220701173222,20220701175132,,2
12,ME174108,01,ME,20220701175117,20220701150952,20220701153521,,2
13,ME174112,01,ME,20220701174911,20220701160616,20220701164058,20220701174910,3
14,ME174113,01,ME,20220701174954,20220701173011,20220701174953,,2
15,ME178008,01,ME,20220701175023,20220701164213,20220701172517,,3
16,ME178010,01,ME,20220701175237,20220701173940,20220701175235,,2
17,ME178020,01,ME,20220701175212,20220701170908,20220701175210,,2
18,ME178021,01,ME,20220701175258,20220701171921,20220701175229,,2
19,ME178022,01,ME,20220701175058,20220701164615,20220701172656,,3
20,ME178023,02,ME,20220701174935,20220701142031,20220701173002,,3
21,ME178031,02,ME,20220701175240,20220701054135,20220701055726,20220701175239,3
22,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
23,ME178044,01,ME,20220701175251,20220701163504,20220701170348,,2
24,ME178052,01,ME,20220701175018,20220701165608,20220701173309,20220701175017,3
25,ME178054,01,ME,20220701175012,20220701170807,20220701173111,20220701175011,3
26,ME178058,01,ME,20220701174914,20220701173911,20220701174551,20220701174912,3
27,ME178064,01,ME,20220701175014,20220701171302,20220701174728,20220701175014,3
28,ME178071,01,ME,20220701174943,20220701171912,20220701173622,20220701174942,3
29,ME178076,01,ME,20220701175207,20220701173830,20220701175206,,2
30,ME178085,01,ME,20220701175109,20220701140419,20220701142424,20220701175108,3
31,ME178098,01,ME,20220701175011,20220701172809,20220701175010,,2
32,ME178108,01,ME,20220701175103,20220701170442,20220701174747,,3
33,ME178125,01,ME,20220701175207,20220701162234,20220701163344,20220701175206,3
34,ME178131,01,ME,20220701174936,20220701125331,20220701133636,20220701174934,3
35,ME178132,01,ME,20220701175131,20220701171220,20220701175129,,2
36,ME178135,01,ME,20220701175033,20220701164057,20220701172703,,3
37,ME178137,02,ME,20220701175134,20220701165504,20220701173516,,2
38,ME178140,01,ME,20220701175101,20220701172109,20220701174810,20220701175100,3
39,ME178142,01,ME,20800925144207,20210805151802,20210805152907,,5
40,ME178144,03,ME,20220701174923,20220701170252,20220701174317,20220701174922,3
41,ME178154,02,ME,20220701175309,20220701163006,20220701171016,,2
42,ME181119,01,ME,20220701175128,20220701154141,20220701155556,20220701175127,3
43,ME181126,01,ME,20220701175009,20220701111347,20220701115707,,2
44,ME181205,02,ME,20220701175236,20220630070715,20220630075035,20220701175235,3
45,ME181217,01,ME,20220701175158,20220630185130,20220630190330,,2
46,ME181305,01,ME,20220701175146,20220701171029,20220701175054,20220701175145,3
47,ME181332,02,ME,20220701175113,20220701172208,20220701175112,,2
48,ME181414,01,ME,20220701175245,20220701173621,20220701175214,,2
49,ME181435,01,ME,20220701175021,20220701155933,20220701163241,20220701175020,3
50,ME183033,01,ME,20220701175046,20220701121455,20220701124440,,2
51,ME183063,01,ME,20220701175051,20220701133843,20220701140937,,2
52,ME183105,52,ME,20220701174912,20220701160746,20220701165048,,2
53,ME183122,02,ME,20220701175004,20220701143939,20220701150201,20220701175003,3
54,ME183126,52,ME,20220701175305,20220701172158,20220701172959,20220701175304,3
55,ME183142,52,ME,20220701174930,20220701163854,20220701172155,20220701174929,3
56,ME183152,01,ME,20220701174910,20220701160928,20220701162944,,3
57,ME183168,02,ME,20220701175206,20220701162421,20220701170722,20220701175206,3
58,ME183182,01,ME,20800927030732,20210826130041,20210826134352,,5
59,ME183187,02,ME,20800904145416,20210814161840,20210814164059,,5
60,ME183191,02,ME,20220701175303,20220630212439,20220630213346,,2
61,ME183208,52,ME,20220701175248,20220701171124,20220701175246,,2
62,ME183210,02,ME,20220701175233,20220701164219,20220701170612,20220701175232,3
63,ME183211,02,ME,20220701175129,20220701174530,20220701175126,,2
64,ME183214,52,ME,20220701175244,20220701164748,20220701173049,20220701175243,3
65,ME183216,52,ME,20220701175236,20220701155935,20220701163431,20220701175235,3
66,ME184012,01,ME,20220701175121,20220701155950,20220701161223,,2
67,ME184047,01,ME,20220701175038,20220701162809,20220701170730,,2
68,ME184053,01,ME,20220701175016,20220701144511,20220701151447,20220701175015,3
69,ME184073,01,ME,20220701174940,20220701171553,20220701174939,,2
70,ME184112,01,ME,20220701175020,20220701165950,20220701173025,20220701175018,3
71,ME188004,01,ME,20220701175242,20220701131225,20220701133124,,2
72,ME18A103,01,ME,20220701174955,20220701172543,20220701174953,,2
73,ME18A112,01,ME,20220701175055,20220701172754,20220701175054,,2
74,ME18A117,01,ME,20220701174934,20220701170459,20220701172029,20220701174934,3
75,ME18A148,01,ME,20220701175158,20220701160623,20220701164927,20220701175157,3
76,ME18A187,01,ME,20220701175032,20220701171021,20220701175032,,2
77,ME18A198,01,ME,20220701175008,20220701153203,20220701155333,20220701175007,3
