,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000172,01,ME,20220701175936,20220701174918,20220701175926,,2
1,ME000291,01,ME,20220701175815,20220701164948,20220701165310,20220701175726,3
2,ME000296,01,ME,20220701175804,20220701165345,20220701165903,20220701175758,3
3,ME000361,01,ME,20220701175839,00000000000000,20220701085503,20220701170735,2
4,ME174028,03,ME,20220701175700,20220701172919,20220701175659,,2
5,ME174037,01,ME,20220701175653,20220701173712,20220701174730,20220701175652,3
6,ME174051,01,ME,20220701175831,20220701170530,20220701174847,20220701175830,3
7,ME174054,01,ME,20220701175828,20220701171724,20220701175753,,2
8,ME174057,01,ME,20220701175707,20220701174108,20220701175706,,2
9,ME174059,01,ME,20220701180006,20220701173409,20220701175805,20220701180005,3
10,ME174079,01,ME,20220701175824,20220701145059,20220701152629,20220701175823,3
11,ME174095,01,ME,20220701175954,20220701122855,20220701124623,20220701175953,3
12,ME174098,01,ME,20220701175624,20220701125751,20220701131921,,2
13,ME174125,01,ME,20220701175859,20220701173858,20220701175858,,2
14,ME174131,01,ME,20220701175821,20220701171826,20220701175808,,2
15,ME178004,01,ME,20220701175714,20220701172053,20220701175713,,2
16,ME178010,02,ME,20220701175821,20220701173026,20220701175820,,2
17,ME178013,01,ME,20220701175624,20220701170037,20220701173548,,3
18,ME178021,01,ME,20220701175726,20220701171921,20220701175229,,3
19,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
20,ME178035,02,ME,20220701175959,20220701152541,20220701154501,20220701175958,3
21,ME178040,01,ME,20220701175744,20220701174127,20220701175741,,2
22,ME178045,01,ME,20220701175813,20220701165344,20220701173645,20220701175812,3
23,ME178046,01,ME,20220701175855,20220701174045,20220701175854,,2
24,ME178049,01,ME,20220701175603,20220701162209,20220701165050,20220701175603,3
25,ME178050,01,ME,20220701175811,20220701171915,20220701175810,,2
26,ME178062,02,ME,20220701175932,20220701165006,20220701171512,,2
27,ME178071,01,ME,20220701175840,20220701174942,20220701175839,,2
28,ME178071,02,ME,20220701175830,20220701165143,20220701172209,20220701175828,3
29,ME178108,01,ME,20220701175819,20220701175057,20220701175513,20220701175818,3
