,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000219,01,,20220701185810,20220701181846,20220701185853,,2
1,ME000225,01,,20220701185635,20220701173821,20220701181725,20220701185528,3
2,ME000282,01,,20220701185850,20220701161844,20220701164303,20220701185846,3
3,ME000296,01,,20220701185810,20220701165345,20220701165903,20220701175758,9
4,ME000347,01,,20220701185603,20220701185530,20220701185551,,2
5,ME000360,01,,20220701185705,20220701181652,20220701184056,,2
6,ME000387,01,,20220701185819,20220701183715,20220701185805,,2
7,ME174020,02,,20220701185502,20220701181234,20220701185314,20220701185501,3
8,ME174043,01,,20220701185631,20220701103814,20220701110043,,2
9,ME174044,01,,20220701185636,20220701165024,20220701173101,,2
10,ME174074,01,,20220701185506,20220701102254,20220701105959,20220701185505,3
11,ME174133,01,,20220701185810,20220701165717,20220701171442,20220701185810,3
12,ME178001,01,,20220701185900,20220701182204,20220701183549,20220701185859,3
13,ME178003,02,,20220701185550,20220701174804,20220701181147,,2
14,ME178004,01,,20220701185537,20220701172053,20220701175713,20220701185536,3
15,ME178007,01,,20220701185532,20220701172421,20220701180506,,2
16,ME178012,03,,20220701185825,20220701154708,20220701163314,20220701185824,3
17,ME178019,01,,20220701185744,20220701165434,20220701171756,20220701185743,3
18,ME178019,02,,20220701185728,20220701183311,20220701185727,,2
19,ME178022,01,,20220701185742,20220701175055,20220701182200,20220701185741,3
20,ME178025,02,,20220701185807,20220701184045,20220701185806,,2
21,ME178026,01,,20220701185832,20220701181822,20220701185542,20220701185831,3
22,ME178031,02,,20220701185901,20220701183659,20220701185900,,2
23,ME178035,01,,20800606031022,20210826144033,20210826152638,,5
24,ME178058,01,,20220701185749,20220701183512,20220701185337,,3
25,ME178061,02,,20220701185853,20220701181458,20220701185503,20220701185852,3
26,ME178065,02,,20220701185658,20220701173259,20220701181605,,3
27,ME178076,01,,20220701185803,20220701183737,20220701185629,20220701185802,3
28,ME178097,01,,20220701185815,20220701183747,20220701185414,20220701185814,3
29,ME178097,02,,20220701185802,20220701184121,20220701185732,,2
30,ME178108,01,,20220701185721,20220701184151,20220701185720,,2
31,ME178121,02,,20220701185633,20220701184953,20220701185632,,2
32,ME178140,01,,20220701185556,20220701175620,20220701182945,20220701185556,3
33,ME178142,01,,20800925144207,20210805151802,20210805152907,,5
34,ME178144,02,,20220701185746,20220701182407,20220701183612,20220701185745,3
35,ME178145,02,,20220701185603,20220701181257,20220701185603,,2
36,ME178149,01,,20220701185839,20220701142426,20220701150306,20220701185838,3
37,ME178150,01,,20220701185848,20220701091119,20220701095354,,2
38,ME181108,01,,20220701185531,20220701180517,20220701185018,,2
