,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000225,01,,20220701185635,20220701173821,20220701181725,20220701185528,3
1,ME000284,01,,20220701185432,20220701180426,20220701184432,,2
2,ME000296,01,,20220701185810,20220701165345,20220701165903,20220701175758,9
3,ME000347,01,,20220701185603,20220701185530,20220701185551,,2
4,ME000360,01,,20220701185705,20220701181652,20220701184056,,2
5,ME174020,02,,20220701185502,20220701181234,20220701185314,20220701185501,3
6,ME174043,01,,20220701185631,20220701103814,20220701110043,,2
7,ME174044,01,,20220701185636,20220701165024,20220701173101,,2
8,ME174074,01,,20220701185506,20220701102254,20220701105959,20220701185505,3
9,ME178003,02,,20220701185550,20220701174804,20220701181147,,2
10,ME178004,01,,20220701185537,20220701172053,20220701175713,20220701185536,3
11,ME178007,01,,20220701185532,20220701172421,20220701180506,,2
12,ME178013,03,,20220701185405,20220701183544,20220701185405,,2
13,ME178019,01,,20220701185744,20220701165434,20220701171756,20220701185743,3
14,ME178019,02,,20220701185728,20220701183311,20220701185727,,2
15,ME178022,01,,20220701185742,20220701175055,20220701182200,20220701185741,3
16,ME178025,02,,20220701185807,20220701184045,20220701185806,,2
17,ME178026,01,,20220701185542,20220701181822,20220701185542,,2
18,ME178035,01,,20800606031022,20210826144033,20210826152638,,5
19,ME178036,01,,20220701185407,20220701173427,20220701181729,20220701185406,3
20,ME178058,01,,20220701185749,20220701183512,20220701185337,,3
21,ME178061,02,,20220701185504,20220701181458,20220701185503,,2
22,ME178065,02,,20220701185658,20220701173259,20220701181605,,3
23,ME178074,02,,20220701185455,20220701180709,20220701183538,20220701185454,3
24,ME178076,01,,20220701185803,20220701183737,20220701185629,20220701185802,3
25,ME178097,01,,20220701185442,20220701183747,20220701185414,,2
26,ME178097,02,,20220701185802,20220701184121,20220701185732,,2
27,ME178104,01,,20220701185436,20220701181419,20220701185434,,2
28,ME178108,01,,20220701185721,20220701184151,20220701185720,,2
29,ME178121,02,,20220701185633,20220701184953,20220701185632,,2
30,ME178129,02,,20220701185448,20220701183022,20220701185448,,2
31,ME178136,02,,20220701185413,20220701181636,20220701185134,20220701185412,3
32,ME178140,01,,20220701185556,20220701175620,20220701182945,20220701185556,3
33,ME178142,01,,20800925144207,20210805151802,20210805152907,,5
34,ME178144,02,,20220701185746,20220701182407,20220701183612,20220701185745,3
35,ME178145,02,,20220701185603,20220701181257,20220701185603,,2
36,ME181108,01,,20220701185531,20220701180517,20220701185018,,2
37,ME181121,01,,20220701185738,20220701170100,20220701172458,20220701185737,3
38,ME181124,01,,20220701185407,20220701161545,20220701165904,20220701185406,3
39,ME181151,01,,20220701185712,20220701181351,20220701185711,,2
40,ME181224,01,,20220701185508,20220701182930,20220701185507,,2
41,ME181433,01,,20220701185535,20220701182058,20220701185426,20220701185534,3
42,ME181439,04,,20220701185752,20220701173809,20220701180345,20220701185751,3
43,ME181442,01,,20220701185750,20220701175318,20220701183639,20220701185749,3
44,ME181504,01,,20220701185624,20220701145043,20220701153458,20220701185624,3
45,ME181536,01,,20220701185624,20220701181140,20220701185221,20220701185624,3
46,ME181546,01,,20220701185435,20220701093655,20220701094640,,2
47,ME183004,01,,20220701185803,20220701180349,20220701184653,20220701185803,3
48,ME183006,01,,20220701185721,20220701174637,20220701182944,20220701185721,3
49,ME183008,01,,20220701185512,20220701180100,20220701184402,20220701185511,3
50,ME183042,01,,20220701185443,20220701183402,20220701185442,,2
51,ME183053,01,,20220701185415,20220701175654,20220701180344,,2
52,ME183130,01,,20220701185628,20220701180831,20220701182958,20220701185627,3
53,ME183146,02,,20220701185659,20220630130924,20220630200412,20220701185657,3
54,ME183182,01,,20800927030732,20210826130041,20210826134352,,5
55,ME183183,02,,20220701185429,20220701123115,20220701130450,,2
56,ME183185,01,,20220701185410,20220701184810,20220701185409,,2
57,ME183187,02,,20800904145416,20210814161840,20210814164059,,5
58,ME183194,02,,20220701185802,20220701145351,20220701153516,,2
59,ME183209,02,,20220701185634,20220701185002,20220701185605,20220701185633,3
60,ME183209,52,,20220701185607,20220701185353,20220701185605,,2
61,ME183214,01,,20220701185512,20220701175714,20220701181450,20220701185511,3
62,ME183214,52,,20220701185442,20220701175243,20220701181018,,2
63,ME184002,01,,20220701185737,20220701181353,20220701185713,,2
64,ME184047,01,,20220701185759,20220701183857,20220701185759,,2
65,ME184068,01,,20220701185653,20220701181450,20220701185531,20220701185652,3
66,ME188007,01,,20220701185601,20220701161931,20220701170606,20220701185600,3
67,ME188012,01,,20220701185535,20220701162359,20220701165649,,2
68,ME18A103,01,,20220701185649,20220701183918,20220701185648,,2
69,ME18A115,01,,20220701185612,20220701184200,20220701185611,,2
70,ME18A129,01,,20220701185535,20220701170305,20220701174345,20220701185535,3
71,ME18A130,01,,20220701185724,20220701180741,20220701185044,20220701185723,3
72,ME18A153,01,,20220701185654,20220701153907,20220701160337,,2
73,ME18A154,01,,20220701185435,20220701181340,20220701185400,20220701185434,3
74,ME18A189,01,,20220701185640,20220630205652,20220630211113,20220701185639,3
75,ME18A201,12,,20220701185442,20220701160635,20220701161851,20220701185441,3
76,ME18A236,12,,20220701185521,20220701164258,20220701172424,20220701185520,3
77,ME18A265,11,,20220701185415,20220701174905,20220701175301,20220701185414,3
78,ME18A291,11,,20220701185523,20220701181649,20220701185522,,2
79,ME18A299,11,,20220701185603,20220701162158,20220701164233,20220701185602,3
80,ME18A312,01,,20220701185646,20220701181604,20220701185625,20220701185645,3
81,ME18B105,01,,20220701185439,20220701181132,20220701185438,,2
82,ME18B108,01,,20220701185456,20220701181900,20220701185249,20220701185454,3
83,ME18B121,01,,20220701185535,20220701182555,20220701185534,,2
84,ME18B131,01,,20220701185456,20220701182850,20220701185455,,2
85,ME18B152,01,,20220701185543,20220701181236,20220701185542,,2
86,ME18B165,01,,20220701185534,20220701171124,20220701175133,20220701185534,3
87,ME18B169,01,,20220701185528,20220701132121,20220701133937,20220701185527,3
88,ME18B185,01,,20220701185413,20220701164218,20220701171554,,3
