,충전소ID,충전기ID,기관아이디,상태갱신일시,최종충전시작,최종충전종료,충전중시작,실시간 상태(15분)
0,ME000175,01,ME,20220701191118,20220701183102,20220701191109,,2
1,ME000347,01,ME,20220701191022,20220701185530,20220701185551,20220701191010,3
2,ME000360,01,ME,20220701190953,20220701181652,20220701184056,,2
3,ME000368,01,ME,20220701190810,20220701163049,20220701171056,,9
4,ME000378,01,ME,20220701191102,20220701183510,20220701191058,,2
5,ME000427,01,ME,20220701190908,20220701184845,20220701190855,,2
6,ME174001,01,ME,20220701191023,20220701164934,20220701173256,20220701191022,3
7,ME174004,01,ME,20220701190938,20220630065642,20220630074000,20220701190917,3
8,ME174010,01,ME,20220701190920,20220701184905,20220701190919,,2
9,ME174015,01,ME,20220701191114,20220701173822,20220701182313,20220701191114,3
10,ME174021,01,ME,20220701190858,20220701165412,20220701171616,20220701190858,3
11,ME174041,02,ME,20220701190933,20220701184835,20220701190932,,2
12,ME174050,02,ME,20220701191034,20220701170654,20220701175013,20220701191033,3
13,ME174056,01,ME,20220701191116,20220701173311,20220701180735,20220701191115,3
14,ME174089,01,ME,20220701191151,20220701182737,20220701191056,20220701191150,3
15,ME174096,01,ME,20220701191114,20220701170221,20220701172356,20220701191113,3
16,ME174106,01,ME,20220701191147,20220701165821,20220701174143,20220701191146,3
17,ME174111,01,ME,20220701190832,20220701173439,20220701181757,20220701190830,3
18,ME174128,01,ME,20220701191127,20220701145442,20220701152209,20220701191126,3
19,ME174153,01,ME,20220701190957,20220701174151,20220701182152,,2
20,ME178002,02,ME,20220701191156,20220701184511,20220701190117,,3
21,ME178003,01,ME,20220701190823,20220701184246,20220701190822,,2
22,ME178005,02,ME,20220701190858,20220701185126,20220701190858,,2
23,ME178012,02,ME,20220701190802,20220701183001,20220701190801,,2
24,ME178015,02,ME,20220701191053,20220701183528,20220701191053,,2
25,ME178025,01,ME,20220701191127,20220701184011,20220701191126,,2
26,ME178035,01,ME,20800606031022,20210826144033,20210826152638,,5
27,ME178038,02,ME,20220701191056,20220701184345,20220701191054,,2
28,ME178039,01,ME,20220701191038,20220701181852,20220701185958,20220701191037,3
29,ME178045,02,ME,20220701190823,20220701183132,20220701190103,20220701190822,3
30,ME178050,02,ME,20220701190805,20220701181828,20220701190018,20220701190804,3
31,ME178059,02,ME,20220701191105,20220701172737,20220701180748,20220701191105,3
32,ME178061,01,ME,20220701191117,20220701183031,20220701191001,,3
33,ME178074,01,ME,20220701190808,20220701182401,20220701183154,20220701190807,3
34,ME178080,02,ME,20220701191115,20220701183310,20220701191115,,2
35,ME178083,02,ME,20220701191120,20220701164710,20220701170950,20220701191119,3
36,ME178083,03,ME,20220701190810,20220701023852,20220701024803,,9
