,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
851,신화아파트,02,전라남도 여수시 선소로 72-28,34.756695093,127.66843698,7,단독,46,,,Y,3,3
852,근화희망타운2차아파트,02,전라남도 목포시 산양로 40,34.836954873,126.42724026,7,단독,46,,,Y,2,2
853,근화희망타운2차아파트,02,전라남도 목포시 산양로 40,34.836954873,126.42724026,7,단독,46,,,Y,2,2
854,근화희망타운2차아파트,02,전라남도 목포시 산양로 40,34.836954873,126.42724026,7,단독,46,,,Y,2,2
855,영암희망가아파트,02,전라남도 영암군 삼호읍 모밀항길 39-18,34.751201689,126.38252745,7,단독,46,,,Y,2,2
856,영암희망가아파트,02,전라남도 영암군 삼호읍 모밀항길 39-18,34.751201689,126.38252745,7,단독,46,,,Y,2,2
857,영암희망가아파트,02,전라남도 영암군 삼호읍 모밀항길 39-18,34.751201689,126.38252745,7,단독,46,,,Y,2,2
858,영암희망가아파트,02,전라남도 영암군 삼호읍 모밀항길 39-18,34.751201689,126.38252745,7,단독,46,,,Y,2,2
859,영암희망가아파트,02,전라남도 영암군 삼호읍 모밀항길 39-18,34.751201689,126.38252745,7,단독,46,,,Y,2,2
860,영암희망가아파트,02,전라남도 영암군 삼호읍 모밀항길 39-18,34.751201689,126.38252745,7,단독,46,,,Y,2,2
861,시온자동차정비공업사(enh),02,전라남도 보성군 보성읍 송재로 282,34.776304,127.0894952,7,단독,46,,,Y,2,2
862,인턴빌딩(enh),02,전라남도 화순군 화순읍 서양로 354,35.0638139,127.0001334,7,단독,46,,,Y,9,9
863,엘에이사운드(enh),02,전라남도 여수시 둔덕8길 7-13,34.7691311,127.6945544,7,단독,46,,,Y,2,2
