,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1,0 : 2,0 : 3,0 : 4,0 : 5
3080,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3081,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3082,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3083,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,3,3,3,3,3,3
3084,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3085,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3086,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3087,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,2,2,2,2,2,2
3088,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,3,3,3,3,3,3
3089,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,3,3,3,3,3,3
3090,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,3,3,3,3,3,3
3091,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,3,3,3,3,3,3
3092,제주직할,02,제주특별자치도 제주시 문연로 36,33.48929,126.501216,,,50,,,Y,9,9,9,9,9,9
3093,스마트그리드 홍보관,06,제주특별자치도 제주시 구좌읍 행원로 13길 122,33.55709901,126.8131196,,,50,,,Y,2,2,2,2,2,2
3094,스마트그리드 홍보관,06,제주특별자치도 제주시 구좌읍 행원로 13길 122,33.55709901,126.8131196,,,50,,,Y,9,9,9,9,9,9
3095,스마트그리드 홍보관,02,제주특별자치도 제주시 구좌읍 행원로 13길 122,33.55709901,126.8131196,,,50,,,Y,2,2,2,2,2,2
3096,스마트그리드 홍보관,02,제주특별자치도 제주시 구좌읍 행원로 13길 122,33.55709901,126.8131196,,,50,,,Y,2,2,2,2,2,2
3097,스마트그리드 홍보관,06,제주특별자치도 제주시 구좌읍 행원로 13길 122,33.55709901,126.8131196,,,50,,,Y,9,9,9,9,9,9
3098,스마트그리드 홍보관,06,제주특별자치도 제주시 구좌읍 행원로 13길 122,33.55709901,126.8131196,,,50,,,Y,9,9,9,9,9,9
3099,한전APT,02,제주특별자치도 제주시 선사로6길 63,33.5278871645,126.5911383972,,,50,,,Y,9,9,9,9,9,9
3100,한전APT,02,제주특별자치도 제주시 선사로6길 63,33.5278871645,126.5911383972,,,50,,,Y,9,9,9,9,9,9
3101,종합경기장,06,제주특별자치도 제주시 오라1동 1163-4,33.4955320993,126.5173239443,,,50,,,Y,2,2,2,2,2,2
3102,종합경기장,06,제주특별자치도 제주시 오라1동 1163-4,33.4955320993,126.5173239443,,,50,,,Y,2,2,2,2,2,2
