,충전소명,충전소ID,충전기ID,충전타입,주소,위도,경도,상태갱신일시,최종충전시작,최종충전종료,충전중시작,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(1분),0 : 1
2318,젠하이드어웨이,JE020028,01,05,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.229234,126.308616,20220626000313,20220625183531,20220625183601,20220625153323,50,단독,50,,,Y,2,2
2319,젠하이드어웨이,JE020028,02,02,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.229234,126.308616,20220625233303,20220606201531,20220607015310,20220606201531,7,단독,50,,,Y,2,2
2320,젠하이드어웨이,JE020028,03,05,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.229234,126.308616,20220601140302,20220601125205,20220601140043,20220601125205,,,50,,,Y,2,2
2321,젠하이드어웨이,JE020028,04,02,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.229234,126.308616,,,,,7,단독,50,,,Y,9,9
2322,봉봉감귤체험농장,JE020029,01,02,제주특별자치도 서귀포시 중산간동로7141번길 16 ,33.281739,126.629794,20220621135703,20220621100618,20220621121645,20220621100618,,,50,,,Y,2,2
2323,제주스테이인성산,JE020030,01,02,제주특별자치도 서귀포시 성산읍 신고로 11,33.438096,126.915988,20220625183300,20220622201340,20220623092215,20220622201340,,,50,,,Y,3,3
2324,제주스테이인성산,JE020030,02,02,제주특별자치도 서귀포시 성산읍 신고로 11,33.438096,126.915988,20220621105700,20220620234011,20220621093126,20220620234011,,,50,,,Y,2,2
2325,세븐일레븐 산방산로드점,JE020032,01,05,제주특별자치도 서귀포시 안덕면 사계북로 190,33.2376445,126.307106,20220625144501,20220625134952,20220625144229,20220625134952,,,50,,,Y,2,2
2326,세븐일레븐 서귀포 온평점,JE020033,01,05,제주특별자치도 서귀포시 성산읍 환해장성로 667 ,33.4132020,126.908995,20220625123601,20220617133331,20220617133359,20220616214323,,,50,,,Y,2,2
2327,대발이파크,JE020034,01,06,제주특별자치도 서귀포시 남원읍 태위로 536,33.274891,126.705892,20220624213900,20220621214609,20220621221015,20220621214609,,,50,,,Y,2,2
2328,성산자동차공업사,JE020035,01,02,제주특별자치도 서귀포시 성산읍 일주동로 3965,33.472051,126.902493,20220625224501,20220624125132,20220624174931,20220624125132,,,50,,,Y,2,2
2329,성산자동차공업사,JE020035,02,02,제주특별자치도 서귀포시 성산읍 일주동로 3965,33.472051,126.902493,20220625034500,20220623185920,20220623221839,20220623185920,,,50,,,Y,2,2
2330,우리들국수,JE020036,01,02,제주특별자치도 서귀포시 섭지코지로 63,33.436997,126.922411,20220625051201,20220622005308,20220622082716,20220622005308,,,50,,,Y,2,2
2331,국립기상과학원,JE020037,01,02,제주특별자치도 서귀포시 서호북로 33,33.258739,126.517845,20220621160602,20220621125528,20220621160533,20220621125528,,,50,,,Y,2,2
2332,국립기상과학원,JE020037,02,02,제주특별자치도 서귀포시 서호북로 33,33.258739,126.517845,20220624180601,20220624135750,20220624180328,20220624135750,,,50,,,Y,2,2
