,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
743,옥포국제시장공영주차장,02,경상남도 거제시 옥포대첩로 43,34.894096,128.692153,14,동시,48,,,N,2,2
744,카페 모토라드 합천,06,경상남도 합천군 대병면 합천호수로 525,35.54438600000,128.05377299999,,,48,,,Y,2,2
745,블루핸즈 연초점,06,경상남도 거제시 연초면 거제대로 4453,34.900126,128.64482499999,,,48,,,Y,2,2
746,중흥s클래스 진주 C-3 BIL,06,경상남도 진주시 에나로175번길 12,35.172950999999,128.1482029999,,,48,,,Y,3,3
747,중흥S클래스 진주 C-2 BIL,06,경상남도 진주시 에나로 190,35.175810000000,128.1427399999,,,48,,,Y,2,2
748,중흥s클래스 진주 C-4 BIL,06,경상남도 진주시 에나로175번길 11,35.172950999999,128.1482029999,,,48,,,Y,2,2
749,포르쉐 데스티네이션 사우스케이프 스파리조트,02,경상남도 남해군 창선면 흥선로 1545,34.840628,128.0613309,,,48,,,Y,2,2
750,포르쉐 데스티네이션 사우스케이프 스파리조트,02,경상남도 남해군 창선면 흥선로 1545,34.840628,128.0613309,,,48,,,Y,2,2
751,다목적체육관,02,경상남도 창원시 성산구 비음로 97,35.223789999999,128.707103,,,48,,,Y,3,3
752,숲애서,06,경상남도 양산시 탑골길 248,35.417129999999,129.2061650000,,,48,,,Y,2,2
753,의료법인 생명사랑의료재단 밀양 윤병원,02,경상남도 밀양시 삼문중앙로 32,35.484637,128.755625,,,48,,,Y,2,2
754,의료법인 생명사랑의료재단 밀양 윤병원,02,경상남도 밀양시 삼문중앙로 32,35.484637,128.755625,,,48,,,Y,3,3
755,진해중앙시장 공영주차장,02,경상남도 창원시 진해구 벚꽃로60번길 12,35.15047500000,128.66563099999,,,48,,,Y,2,2
756,진해중앙시장 공영주차장,02,경상남도 창원시 진해구 벚꽃로60번길 12,35.15047500000,128.66563099999,,,48,,,Y,2,2
757,아우디_양산 서비스센터,04,경상남도 양산시 상북면 양산대로 1222,35.378087000000,129.0480430000,,,48,,,Y,2,2
758,경상대학교 개방형 스포츠콤플렉스,06,경상남도 진주시 진주대로 501,35.15338399,128.0980169,50,단독,48,,,Y,2,2
759,진동면행정복지센터,02,경상남도 창원시 마산합포구 진동면 신서촌로 11,35.115806999,128.48420599,14,동시,48,,,Y,2,2
760,진동면행정복지센터,02,경상남도 창원시 마산합포구 진동면 신서촌로 11,35.115806999,128.48420599,14,동시,48,,,Y,2,2
761,통제영거리중앙지하주차장,02,경상남도 통영시 세병로 12,34.84553099,128.42335300,7,단독,48,,,Y,2,2
762,통제영거리중앙지하주차장,02,경상남도 통영시 세병로 12,34.84553099,128.42335300,7,단독,48,,,Y,2,2
763,통제영거리중앙지하주차장,02,경상남도 통영시 세병로 12,34.84553099,128.42335300,7,단독,48,,,Y,2,2
764,통제영거리중앙지하주차장,02,경상남도 통영시 세병로 12,34.84553099,128.42335300,7,단독,48,,,Y,2,2
765,서부장애인복지센터,06,경상남도 김해시 대청로176번길 30,35.19024499,128.79937200,50,단독,48,,,Y,2,2
766,양산부산대학교병원,04,경상남도 양산시 물금읍 금오로 20,35.327564000,129.00585300,100,동시,48,,,Y,2,2
767,양산부산대학교병원,04,경상남도 양산시 물금읍 금오로 20,35.327564000,129.00585300,100,동시,48,,,Y,2,2
768,양산부산대학교병원,04,경상남도 양산시 물금읍 금오로 20,35.327564000,129.00585300,100,동시,48,,,Y,2,2
769,양산부산대학교병원,04,경상남도 양산시 물금읍 금오로 20,35.327564000,129.00585300,100,동시,48,,,Y,2,2
770,양산부산대학교병원,06,경상남도 양산시 물금읍 금오로 20,35.327564000,129.00585300,50,단독,48,,,Y,1,1
771,정부경남지방합동청사,04,경상남도 창원시 마산합포구 제2부두로 10,35.194964999,128.57208699,100,단독,48,,,Y,2,2
